Configuration    | Term   |    J |           Level    |
-----------------|--------|------|--------------------|
                 |        |      |                    |
3s2.3p           | 2P*    |  1/2 |      0.00          |
                 |        |  3/2 |      0.0138938     |
                 |        |      |                    |
3s2.4s           | 2S     |  1/2 |      3.1427210     |
                 |        |      |                    |
3s.3p2           | 4P     |  1/2 |      3.598072      |
                 |        |  3/2 |      3.603844      |
                 |        |  5/2 |      3.613244      |
                 |        |      |                    |
3s2.3d           | 2D     |  3/2 |      4.0214834     |
                 |        |  5/2 |      4.0216499     |
                 |        |      |                    |
3s2.4p           | 2P*    |  1/2 |      4.0852551     |
                 |        |  3/2 |      4.0872181     |
                 |        |      |                    |
3s2.5s           | 2S     |  1/2 |      4.6728906     |
                 |        |      |                    |
3s2.(1S)nd       | y 2D   |  3/2 |      4.8266318     |
                 |        |  5/2 |      4.8271965     |
                 |        |      |                    |
3s2.5p           | 2P*    |  1/2 |      4.9930886     |
                 |        |  3/2 |      4.9938207     |
                 |        |      |                    |
3s2.4f           | 2F*    |  5/2 |      5.1229511     |
                 |        |  7/2 |      5.1229521     |
                 |        |      |                    |
3s2.6s           | 2S     |  1/2 |      5.2252407     |
                 |        |      |                    |
3s2.4d           | 2D     |  3/2 |      5.2363163     |
                 |        |  5/2 |      5.2368173     |
                 |        |      |                    |
3s2.6p           | 2P*    |  1/2 |      5.3728579     |
                 |        |  3/2 |      5.3732131     |
                 |        |      |                    |
3s2.5f           | 2F*    |  5/2 |      5.4343636     |
                 |        |  7/2 |      5.4343641     |
                 |        |      |                    |
3s2.5g           | 2G     |  7/2 |      5.4398992     |
                 |        |  9/2 |      5.4398992     |
                 |        |      |                    |
3s2.5d           | 2D     |  3/2 |      5.4759351     |
                 |        |  5/2 |      5.4762387     |
                 |        |      |                    |
3s2.7s           | 2S     |  1/2 |      5.4891686     |
                 |        |      |                    |
3s2.7p           | 2P*    |  1/2 |      5.5693284     |
                 |        |  3/2 |      5.5695294     |
                 |        |      |                    |
3s2.6f           | 2F*    |  5/2 |      5.6034259     |
                 |        |  7/2 |      5.6034259     |
                 |        |      |                    |
3s2.6g           | 2G     |  7/2 |      5.6067781     |
                 |        |  9/2 |      5.6067781     |
                 |        |      |                    |
3s2.6d           | 2D     |  3/2 |      5.6219596     |
                 |        |  5/2 |      5.6221368     |
                 |        |      |                    |
3s2.8s           | 2S     |  1/2 |      5.6359796     |
                 |        |      |                    |
3s2.7f           | 2F*    |  7/2 |      5.7052285     |
                 |        |  5/2 |      5.7052285     |
                 |        |      |                    |
3s2.7g           | 2G     |  9/2 |      5.7073978     |
                 |        |  7/2 |      5.7073978     |
                 |        |      |                    |
3s2.7h           | 2H*    | 11/2 |      5.7078717     |
                 |        |  9/2 |      5.7078717     |
                 |        |      |                    |
3s2.7d           | 2D     |  3/2 |      5.7148559     |
                 |        |  5/2 |      5.7149660     |
                 |        |      |                    |
3s2.9s           | 2S     |  1/2 |      5.7260728     |
                 |        |      |                    |
3s2.8f           | 2F*    |  7/2 |      5.7712089     |
                 |        |  5/2 |      5.7712089     |
                 |        |      |                    |
3s2.8d           | 2D     |  3/2 |      5.776835      |
                 |        |  5/2 |      5.776913      |
                 |        |      |                    |
