Configuration              | Term        |   J |                 Level    |
---------------------------|-------------|-----|--------------------------|
                           |             |     |                          |
6s2                        | 1S          |   0 |            0.000000      |
                           |             |     |                          |
6s.5d                      | 3D          |   1 |            1.120069      |
                           |             |   2 |            1.142576      |
                           |             |   3 |            1.189818      |
                           |             |     |                          |
6s.5d                      | 1D          |   2 |            1.4128432     |
                           |             |     |                          |
6s.6p                      | 3P*         |   0 |            1.5207931     |
                           |             |   1 |            1.5667415     |
                           |             |   2 |            1.6756147     |
                           |             |     |                          |
6s.6p                      | 1P*         |   1 |            2.2391868     |
                           |             |     |                          |
5d2                        | 3F          |   2 |            2.5954894     |
                           |             |   3 |            2.6346882     |
                           |             |   4 |            2.6810060     |
                           |             |     |                          |
5d.6p                      | 3F*         |   2 |            2.7356672     |
                           |             |   3 |            2.8451177     |
                           |             |   4 |            2.9454985     |
                           |             |     |                          |
5d2                        | 1D          |   2 |            2.8593297     |
                           |             |     |                          |
5d.6p                      | 1D*         |   2 |            2.8608592     |
                           |             |     |                          |
5d2                        | 3P          |   0 |            2.8775550     |
                           |             |   1 |            2.9111458     |
                           |             |   2 |            2.9655673     |
                           |             |     |                          |
5d.6p                      | 3D*         |   1 |            2.9994296     |
                           |             |   2 |            3.0415198     |
                           |             |   3 |            3.0971045     |
                           |             |     |                          |
5d.6p                      | 3P*         |   0 |            3.1792182     |
                           |             |   1 |            3.1869033     |
                           |             |   2 |            3.2181980     |
                           |             |     |                          |
6s.7s                      | 3S          |   1 |            3.2434628     |
                           |             |     |                          |
5d2                        | 1S          |   0 |            3.31748       |
                           |             |     |                          |
5d.6p                      | 1F*         |   3 |            3.3247930     |
                           |             |     |                          |
6s.7s                      | 1S          |   0 |            3.5001023     |
                           |             |     |                          |
5d.6p                      | 1P*         |   1 |            3.5402720     |
                           |             |     |                          |
6s.6d                      | 1D          |   2 |            3.7488884     |
                           |             |     |                          |
6s.6d                      | 3D          |   1 |            3.8057712     |
                           |             |   2 |            3.8125972     |
                           |             |   3 |            3.8209591     |
                           |             |     |                          |
6s.7p                      | 3P*         |   0 |            3.8117067     |
                           |             |   1 |            3.8206363     |
                           |             |   2 |            3.8419279     |
                           |             |     |                          |
6s.7p                      | 1P*         |   1 |            4.0353176     |
                           |             |     |                          |
5d.7s                      | 3D          |   1 |            4.0673223     |
                           |             |   2 |            4.0845072     |
                           |             |   3 |            4.1567685     |
                           |             |     |                          |
5d.7s                      | 1D          |   2 |            4.1901711     |
                           |             |     |                          |
6s.8s                      | 3S          |   1 |            4.2037284     |
                           |             |     |                          |
6s.8s                      | 1S          |   0 |            4.2614609     |
                           |             |     |                          |
6p2                        | 3P          |   0 |            4.2766988     |
                           |             |   1 |            4.3175518     |
                           |             |   2 |            4.3821484     |
                           |             |     |                          |
6s.4f                      | 3F*         |   2 |            4.2901958     |
                           |             |   3 |            4.2919165     |
                           |             |   4 |            4.2936691     |
                           |             |     |                          |
6s.4f                      | 1F*         |   3 |            4.3067611     |
                           |             |     |                          |
6s.7d                      | 3D          |   2 |            4.4159386     |
                           |             |   1 |            4.4273873     |
                           |             |   3 |            4.4368081     |
                           |             |     |                          |
