Configuration     | Term   |   J |                Level    |
------------------|--------|-----|-------------------------|
                  |        |     |                         |
5p6.6s            | 2S     | 1/2 |      0.0000000          |
                  |        |     |                         |
5p6.6p            | 2P*    | 1/2 |      1.385928529437     |
                  |        | 3/2 |      1.45462059962      |
                  |        |     |                         |
5p6.5d            | 2D     | 3/2 |      1.79767862         |
                  |        | 5/2 |      1.809777680        |
                  |        |     |                         |
5p6.7s            | 2S     | 1/2 |      2.29811251         |
                  |        |     |                         |
5p6.7p            | 2P*    | 1/2 |      2.6985591          |
                  |        | 3/2 |      2.7210063          |
                  |        |     |                         |
5p6.6d            | 2D     | 3/2 |      2.80065669         |
                  |        | 5/2 |      2.80597131         |
                  |        |     |                         |
5p6.8s            | 2S     | 1/2 |      3.0149420849       |
                  |        |     |                         |
5p6.4f            | 2F*    | 7/2 |      3.03414675         |
                  |        | 5/2 |      3.03416924         |
                  |        |     |                         |
5p6.8p            | 2P*    | 1/2 |      3.187489157        |
                  |        | 3/2 |      3.1977392          |
                  |        |     |                         |
5p6.7d            | 2D     | 3/2 |      3.22951964         |
                  |        | 5/2 |      3.23211572         |
                  |        |     |                         |
5p6.9s            | 2S     | 1/2 |      3.33649673         |
                  |        |     |                         |
5p6.5f            | 2F*    | 7/2 |      3.34399663         |
                  |        | 5/2 |      3.34401517         |
                  |        |     |                         |
5p6.5g            | 2G     | 7/2 |      3.34857173         |
                  |        | 9/2 |      3.34857207         |
                  |        |     |                         |
5p6.9p            | 2P*    | 1/2 |      3.42655065         |
                  |        | 3/2 |      3.43209046         |
                  |        |     |                         |
5p6.8d            | 2D     | 3/2 |      3.44815408         |
                  |        | 5/2 |      3.44959728         |
                  |        |     |                         |
5p6.10s           | 2S     | 1/2 |      3.50878095         |
                  |        |     |                         |
5p6.6f            | 2F*    | 7/2 |      3.51239866         |
                  |        | 5/2 |      3.51241178         |
                  |        |     |                         |
5p6.6g            | 2G     | 7/2 |      3.51525487         |
                  |        | 9/2 |      3.51525507         |
                  |        |     |                         |
5p6.10p           | 2P*    | 1/2 |      3.56167057         |
                  |        | 3/2 |      3.56500136         |
                  |        |     |                         |
5p6.9d            | 2D     | 3/2 |      3.57430080         |
                  |        | 5/2 |      3.575182320        |
                  |        |     |                         |
5p6.11s           | 2S     | 1/2 |      3.611873968        |
                  |        |     |                         |
5p6.7f            | 2F*    | 7/2 |      3.613879802        |
                  |        | 5/2 |      3.613888940        |
                  |        |     |                         |
5p6.7g            | 2G     | 7/2 |      3.615759883        |
                  |        | 9/2 |      3.61576001         |
                  |        |     |                         |
5p6.11p           | 2P*    | 1/2 |      3.645559613        |
                  |        | 3/2 |      3.6477170          |
                  |        |     |                         |
5p6.10d           | 2D     | 3/2 |      3.65360181         |
                  |        | 5/2 |      3.654178603        |
                  |        |     |                         |
5p6.12s           | 2S     | 1/2 |      3.678462569        |
                  |        |     |                         |
5p6.8f            | 2F*    | 7/2 |      3.679688319        |
                  |        | 5/2 |      3.679694903        |
                  |        |     |                         |
5p6.8g            | 2G     | 7/2 |      3.680983737        |
                  |        | 9/2 |      3.68098384         |
                  |        |     |                         |
5p6.12p           | 2P*    | 1/2 |      3.701229559        |
