-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |    Aki    |    fik    | Acc. |       Ei           Ek                | Configurations   |    Terms   |  Ji   Jk  | gi   gk |Type|
          Wavelength |          Wavelength |    s^-1   |           |      |      (eV)         (eV)               |                  |            |           |         |    |
           Vac (nm)  |           Vac (nm)  |           |           |      |                                      |                  |            |           |         |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     |                     |           |           |      |                                      |                  |            |           |         |    |
      320.8434       |      320.8445425    | 8.5e+02   | 2.6e-06   |      |0.0000000     -     3.864307334       | 5p6.6s - 5p6.25p |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
                     |      320.8520090    |           |           |      |0.0000000     -     3.864217408       | 5p6.6s - 5p6.25p |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
      321.0894       |      321.0907       | 9.4e+02   | 2.9e-06   |      |0.0000000     -     3.861344          | 5p6.6s - 5p6.24p |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
                     |      321.0997221    |           |           |      |0.0000000     -    [3.86123635]       | 5p6.6s - 5p6.24p |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
      321.3759       |      321.3771388    | 1.19e+03  | 3.69e-06  |      |0.0000000     -     3.85790328        | 5p6.6s - 5p6.23p |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
                     |                     |           |           |      |                                      |                  |            |           |         |    |
                     |      321.3871893    |           |           |      |0.0000000     -     3.857782636       | 5p6.6s - 5p6.23p |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
      321.7100       |      321.7113       | 1.49e+03  | 4.62e-06  |      |0.0000000     -     3.853896          | 5p6.6s - 5p6.22p |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
                     |      321.7234330    |           |           |      |0.0000000     -    [3.85375074]       | 5p6.6s - 5p6.22p |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
      322.1046       |      322.10618      | 1.7e+03   | 5.3e-06   |      |0.0000000     -     3.8491715         | 5p6.6s - 5p6.21p |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
      322.1188       |      322.1201917    | 1.07e+01  | 1.66e-08  |      |0.0000000     -     3.849004037       | 5p6.6s - 5p6.21p |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
                     |                     |           |           |      |                                      |                  |            |           |         |    |
      322.5748       |      322.5765       | 2.0e+03   | 6.2e-06   |      |0.0000000     -     3.843560          | 5p6.6s - 5p6.20p |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
      322.5913       |      322.5932       | 1.43e+01  | 2.23e-08  |      |0.0000000     -     3.843360          | 5p6.6s - 5p6.20p |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
      323.1410       |      323.14236      | 2.5e+03   | 7.8e-06   |      |0.0000000     -     3.8368288         | 5p6.6s - 5p6.19p |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
      323.1613       |      323.1626687    | 1.97e+01  | 3.08e-08  |      |0.0000000     -     3.836587695       | 5p6.6s - 5p6.19p |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
      323.8316       |      323.8329124    | 2.8e+03   | 8.8e-06   |      |0.0000000     -     3.82864703        | 5p6.6s - 5p6.18p |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
                     |                     |           |           |      |                                      |                  |            |           |         |    |
      323.8564       |      323.8578224    | 2.63e+01  | 4.14e-08  |      |0.0000000     -     3.828352544       | 5p6.6s - 5p6.18p |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
      324.6862       |      324.68743      | 3.45e+03  | 1.09e-05  |      |0.0000000     -     3.8185707         | 5p6.6s - 5p6.17p |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
      324.7173       |      324.7184795    | 3.7e+01   | 5.8e-08   |      |0.0000000     -     3.818205604       | 5p6.6s - 5p6.17p |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
      325.7611       |      325.76271      | 4.25e+03  | 1.35e-05  |      |0.0000000     -     3.8059664         | 5p6.6s - 5p6.16p |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
      325.8010       |      325.8021575    | 7.0e+01   | 1.1e-07   |      |0.0000000     -     3.805505549       | 5p6.6s - 5p6.16p |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
                     |                     |           |           |      |                                      |                  |            |           |         |    |
      327.1417       |      327.14283      | 5.6e+03   | 1.8e-05   |      |0.0000000     -     3.7899101         | 5p6.6s - 5p6.15p |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
      327.1920       |      327.1939894    | 9.8e+01   | 1.6e-07   |      |0.0000000     -     3.789317525       | 5p6.6s - 5p6.15p |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
