Configuration         | Term   |       J |              Level    |
----------------------|--------|---------|-----------------------|
                      |        |         |                       |
3p6.4s                | 2S     |     1/2 |      0.0000000        |
                      |        |         |                       |
3p6.4p                | 2P*    |     1/2 |      1.6099577412     |
                      |        |     3/2 |      1.6171129064     |
                      |        |         |                       |
3p6.5s                | 2S     |     1/2 |      2.6069599        |
                      |        |         |                       |
3p6.3d                | 2D     |     5/2 |      2.6699599        |
                      |        |     3/2 |      2.6702460        |
                      |        |         |                       |
3p6.5p                | 2P*    |     1/2 |      3.0625809        |
                      |        |     3/2 |      3.0649064        |
                      |        |         |                       |
3p6.4d                | 2D     |     5/2 |      3.3968044        |
                      |        |     3/2 |      3.3969371        |
                      |        |         |                       |
3p6.6s                | 2S     |     1/2 |      3.40345411       |
                      |        |         |                       |
3p6.4f                | 2F*    |     5/2 |      3.487409         |
                      |        |     7/2 |      3.487409         |
                      |        |         |                       |
3p6.6p                | 2P*    |     1/2 |      3.595451         |
                      |        |     3/2 |      3.596497         |
                      |        |         |                       |
3p6.5d                | 2D     |     5/2 |      3.74249303       |
                      |        |     3/2 |      3.74255548       |
                      |        |         |                       |
3p6.7s                | 2S     |     1/2 |      3.75352822       |
                      |        |         |                       |
3p6.5f                | 2F*    |     7/2 |      3.794751         |
                      |        |     5/2 |      3.794751         |
                      |        |         |                       |
3p6.5g                | 2G     |     7/2 |      3.796062         |
                      |        |     9/2 |      3.796062         |
                      |        |         |                       |
3p6.7p                | 2P*    |     1/2 |      3.852176         |
                      |        |     3/2 |      3.852734         |
                      |        |         |                       |
3p6.6d                | 2D     |     5/2 |      3.92979057       |
                      |        |     3/2 |      3.92982350       |
                      |        |         |                       |
3p6.8s                | 2S     |     1/2 |      3.93840452       |
                      |        |         |                       |
3p6.6f                | 2F*    |     7/2 |      3.961688         |
                      |        |     5/2 |      3.961688         |
                      |        |         |                       |
3p6.8p                | 2P*    |     1/2 |      3.995693         |
                      |        |     3/2 |      3.996024         |
                      |        |         |                       |
3p6.7d                | 2D     |     5/2 |      4.04167236       |
                      |        |     3/2 |      4.04169166       |
                      |        |         |                       |
3p6.9s                | 2S     |     1/2 |      4.04787938       |
                      |        |         |                       |
3p6.7f                | 2F*    |     5/2 |      4.062317         |
                      |        |     7/2 |      4.062317         |
                      |        |         |                       |
3p6.9p                | 2P*    |     1/2 |      4.08406441       |
                      |        |     3/2 |      4.08427806       |
                      |        |         |                       |
3p6.8d                | 2D     |     5/2 |      4.11356408       |
                      |        |     3/2 |      4.11357629       |
                      |        |         |                       |
3p6.10s               | 2S     |     1/2 |      4.11803901       |
                      |        |         |                       |
3p6.8f                | 2F*    |     5/2 |      4.127607         |
                      |        |     7/2 |      4.127607         |
                      |        |         |                       |
3p6.10p               | 2P*    |     1/2 |      4.14234040       |
                      |        |     3/2 |      4.14248521       |
                      |        |         |                       |
3p6.9d                | 2D     |     5/2 |      4.16240459       |
                      |        |     3/2 |      4.16241273       |
                      |        |         |                       |
3p6.11s               | 2S     |     1/2 |      4.16569023       |
                      |        |         |                       |
3p6.9f                | 2F*    |     7/2 |      4.172356         |
                      |        |     5/2 |      4.172356         |
                      |        |         |                       |
