Configuration   | Term   |   J |          Level    |
----------------|--------|-----|-------------------|
                |        |     |                   |
1s2.2s          | 2S     | 1/2 |     0.00          |
                |        |     |                   |
1s2.2p          | 2P*    | 1/2 |     1.847818      |
                |        | 3/2 |     1.847860      |
                |        |     |                   |
1s2.3s          | 2S     | 1/2 |     3.373129      |
                |        |     |                   |
1s2.3p          | 2P*    | 1/2 |     3.834258      |
                |        | 3/2 |     3.834258      |
                |        |     |                   |
1s2.3d          | 2D     | 3/2 |     3.878607      |
                |        | 5/2 |     3.878612      |
                |        |     |                   |
1s2.4s          | 2S     | 1/2 |     4.340942      |
                |        |     |                   |
1s2.4p          | 2P*    | 1/2 |     4.521648      |
                |        | 3/2 |     4.521648      |
                |        |     |                   |
1s2.4d          | 2D     | 3/2 |     4.540720      |
                |        | 5/2 |     4.540723      |
                |        |     |                   |
1s2.4f          | 2F*    | 5/2 |     4.54157       |
                |        | 7/2 |     4.54157       |
                |        |     |                   |
1s2.5s          | 2S     | 1/2 |     4.748533      |
                |        |     |                   |
1s2.5p          | 2P*    | 1/2 |     4.837313      |
                |        | 3/2 |     4.837313      |
                |        |     |                   |
1s2.5d          | 2D     | 3/2 |     4.847153      |
                |        | 5/2 |     4.847154      |
                |        |     |                   |
1s2.5f          | 2F*    | 5/2 |     4.84834       |
                |        | 7/2 |     4.84834       |
                |        |     |                   |
1s2.6s          | 2S     | 1/2 |     4.957835      |
                |        |     |                   |
1s2.6p          | 2P*    | 1/2 |     5.007826      |
                |        | 3/2 |     5.007826      |
                |        |     |                   |
1s2.6d          | 2D     | 3/2 |     5.013587      |
                |        | 5/2 |     5.013588      |
                |        |     |                   |
1s2.7s          | 2S     | 1/2 |     5.07937       |
                |        |     |                   |
1s2.7p          | 2P*    | 1/2 |     5.110300      |
                |        | 3/2 |     5.110300      |
                |        |     |                   |
1s2.7d          | 2D     | 3/2 |     5.11391       |
                |        | 5/2 |     5.11391       |
                |        |     |                   |
1s2.8s          | 2S     | 1/2 |     5.15614       |
                |        |     |                   |
1s2.8p          | 2P*    | 1/2 |     5.176542      |
                |        | 3/2 |     5.176542      |
                |        |     |                   |
1s2.8d          | 2D     | 3/2 |     5.17898       |
                |        | 5/2 |     5.17898       |
                |        |     |                   |
1s2.9s          | 2S     | 1/2 |     5.20775       |
                |        |     |                   |
1s2.9p          | 2P*    | 1/2 |     5.222000      |
                |        | 3/2 |     5.222000      |
                |        |     |                   |
1s2.9d          | 2D     | 3/2 |     5.22362       |
                |        | 5/2 |     5.22362       |
                |        |     |                   |
1s2.10s         | 2S     | 1/2 |     5.2443        |
                |        |     |                   |
1s2.10p         | 2P*    | 1/2 |     5.254346      |
                |        | 3/2 |     5.254346      |
                |        |     |                   |
1s2.10d         | 2D     | 3/2 |     5.2556        |
                |        | 5/2 |     5.2556        |
                |        |     |                   |
1s2.11s         | 2S     | 1/2 |     5.2706        |
                |        |     |                   |
1s2.11p         | 2P*    | 1/2 |     5.27790       |
                |        | 3/2 |     5.27790       |
                |        |     |                   |
1s2.11d         | 2D     | 3/2 |     5.2790        |
                |        | 5/2 |     5.2790        |
                |        |     |                   |
1s2.12p         | 2P*    | 1/2 |     5.296498      |
