Configuration   | Term   |   J |           Level    |
----------------|--------|-----|--------------------|
                |        |     |                    |
4p6.5s          | 2S     | 1/2 |      0.00          |
                |        |     |                    |
4p6.5p          | 2P*    | 1/2 |      1.5595909     |
                |        | 3/2 |      1.5890490     |
                |        |     |                    |
4p6.4d          | 2D     | 5/2 |      2.3997392     |
                |        | 3/2 |      2.3997945     |
                |        |     |                    |
4p6.6s          | 2S     | 1/2 |      2.4961130     |
                |        |     |                    |
4p6.6p          | 2P*    | 1/2 |      2.9402951     |
                |        | 3/2 |      2.9499051     |
                |        |     |                    |
4p6.5d          | 2D     | 3/2 |      3.1864602     |
                |        | 5/2 |      3.1868274     |
                |        |     |                    |
4p6.7s          | 2S     | 1/2 |      3.2622022     |
                |        |     |                    |
4p6.4f          | 2F*    | 7/2 |      3.3217958     |
                |        | 5/2 |      3.3217991     |
                |        |     |                    |
4p6.7p          | 2P*    | 1/2 |      3.451102      |
                |        | 3/2 |      3.455453      |
                |        |     |                    |
4p6.6d          | 2D     | 3/2 |      3.5567502     |
                |        | 5/2 |      3.5570308     |
                |        |     |                    |
4p6.8s          | 2S     | 1/2 |      3.6013460     |
                |        |     |                    |
4p6.5f          | 2F*    | 7/2 |      3.6299804     |
                |        | 5/2 |      3.6299827     |
                |        |     |                    |
4p6.5g          | 2G     | 7/2 |      3.6322651     |
                |        | 9/2 |      3.6322651     |
                |        |     |                    |
4p6.8p          | 2P*    | 1/2 |      3.699061      |
                |        | 3/2 |      3.701398      |
                |        |     |                    |
4p6.7d          | 2D     | 3/2 |      3.7542553     |
                |        | 5/2 |      3.7544421     |
                |        |     |                    |
4p6.9s          | 2S     | 1/2 |      3.7813977     |
                |        |     |                    |
4p6.6f          | 2F*    | 7/2 |      3.7973831     |
                |        | 5/2 |      3.7973851     |
                |        |     |                    |
4p6.9p          | 2P*    | 1/2 |      3.838415      |
                |        | 3/2 |      3.839814      |
                |        |     |                    |
4p6.8d          | 2D     | 3/2 |      3.8709650     |
                |        | 5/2 |      3.8710906     |
                |        |     |                    |
4p6.10s         | 2S     | 1/2 |      3.8884332     |
                |        |     |                    |
4p6.7f          | 2F*    | 7/2 |      3.8982760     |
                |        | 5/2 |      3.8982774     |
                |        |     |                    |
4p6.10p         | 2P*    | 1/2 |      3.924577      |
                |        | 3/2 |      3.925483      |
                |        |     |                    |
4p6.9d          | 2D     | 3/2 |      3.9454069     |
                |        | 5/2 |      3.9454931     |
                |        |     |                    |
4p6.11s         | 2S     | 1/2 |      3.9572308     |
                |        |     |                    |
4p6.8f          | 2F*    | 7/2 |      3.9637270     |
                |        | 5/2 |      3.9637276     |
                |        |     |                    |
4p6.11p         | 2P*    | 1/2 |      3.981573      |
                |        | 3/2 |      3.982189      |
                |        |     |                    |
4p6.10d         | 2D     | 3/2 |      3.9957141     |
                |        | 5/2 |      3.9957759     |
                |        |     |                    |
4p6.12s         | 2S     | 1/2 |      4.0040584     |
                |        |     |                    |
4p6.12p         | 2P*    | 1/2 |      4.021241      |
                |        | 3/2 |      4.021680      |
                |        |     |                    |
4p6.13p         | 2P*    | 1/2 |      4.049947      |
                |        | 3/2 |      4.050270      |
                |        |     |                    |
