Configuration      | Term        |   J |           Level    |
-------------------|-------------|-----|--------------------|
                   |             |     |                    |
5s2                | 1S          |   0 |     0.000000       |
                   |             |     |                    |
5s.5p              | 3P*         |   0 |     1.7751445      |
                   |             |   1 |     1.7983081      |
                   |             |   2 |     1.8471840      |
                   |             |     |                    |
5s.4d              | 3D          |   1 |     2.2514339      |
                   |             |   2 |     2.2588412      |
                   |             |   3 |     2.2712987      |
                   |             |     |                    |
5s.4d              | 1D          |   2 |     2.4982424      |
                   |             |     |                    |
5s.5p              | 1P*         |   1 |     2.6902650      |
                   |             |     |                    |
5s.6s              | 3S          |   1 |     3.6003488      |
                   |             |     |                    |
5s.6s              | 1S          |   0 |     3.7929027      |
                   |             |     |                    |
4d.5p              | 3F*         |   2 |     4.1245636      |
                   |             |   3 |     4.1645929      |
                   |             |   4 |     4.2054588      |
                   |             |     |                    |
4d.5p              | 1D*         |   2 |     4.1940007      |
                   |             |     |                    |
5s.6p              | 3P*         |   0 |     4.1972976      |
                   |             |   1 |     4.1991359      |
                   |             |   2 |     4.2121230      |
                   |             |     |                    |
5s.6p              | 1P*         |   1 |     4.2276630      |
                   |             |     |                    |
5s.5d              | 1D          |   2 |     4.3056544      |
                   |             |     |                    |
5s.5d              | 3D          |   1 |     4.3403032      |
                   |             |   2 |     4.3421730      |
                   |             |   3 |     4.3450283      |
                   |             |     |                    |
5p2                | 3P          |   0 |     4.3634304      |
                   |             |   1 |     4.3890534      |
                   |             |   2 |     4.4230910      |
                   |             |     |                    |
4d.5p              | 3D*         |   1 |     4.4961814      |
                   |             |   2 |     4.5107613      |
                   |             |   3 |     4.5327990      |
                   |             |     |                    |
5p2                | 1D          |   2 |     4.5825601      |
                   |             |     |                    |
5p2                | 1S          |   0 |     4.6072815      |
                   |             |     |                    |
4d.5p              | 3P*         |   0 |     4.6236276      |
                   |             |   1 |     4.6249489      |
                   |             |   2 |     4.6291470      |
                   |             |     |                    |
5s.7s              | 3S          |   1 |     4.6400680      |
                   |             |     |                    |
4d.5p              | 1F*         |   3 |     4.7123591      |
                   |             |     |                    |
5s.7s              | 1S          |   0 |     4.7664498      |
                   |             |     |                    |
5s.4f              | 3F*         |   2 |     4.8044395      |
                   |             |   3 |     4.8046862      |
                   |             |   4 |     4.8050290      |
                   |             |     |                    |
5s.7p              | 1P*         |   1 |     4.8238353      |
                   |             |     |                    |
5s.7p              | 3P*         |   0 |     4.8864239      |
                   |             |   1 |     4.8882555      |
                   |             |   2 |     4.8920917      |
                   |             |     |                    |
5s.4f              | 1F*         |   3 |     4.9022125      |
                   |             |     |                    |
5s.6d              | 3D          |   1 |     4.9204155      |
                   |             |   2 |     4.9210320      |
                   |             |   3 |     4.9225578      |
                   |             |     |                    |
5s.6d              | 1D          |   2 |     4.9262722      |
                   |             |     |                    |
5s.8s              | 3S          |   1 |     5.0537657      |
                   |             |     |                    |
5s.8s              | 1S          |   0 |     5.0898392      |
                   |             |     |                    |
4d.5p              | 1P*         |   1 |     5.1046838      |
                   |             |     |                    |
5s.5f              | 3F*         |   2 |     5.1285567      |
                   |             |   3 |     5.1286658      |
                   |             |   4 |     5.128813       |
                   |             |     |                    |
